indice_tiempo,origen_visitantes,visitas,observaciones
2021-07-01,residentes,143062,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-07-01,total,143383,Emergencia sanitaria.
2021-08-01,no residentes,381,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-08-01,residentes,137306,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-08-01,total,137687,Emergencia sanitaria.
2021-09-01,no residentes,235,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-09-01,residentes,174578,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-09-01,total,174813,Emergencia sanitaria.
2021-10-01,no residentes,1830,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-10-01,residentes,270350,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-10-01,total,272180,Emergencia sanitaria.
2021-11-01,no residentes,11554,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-11-01,residentes,256927,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-11-01,total,268481,Emergencia sanitaria.
2021-12-01,no residentes,23469,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2021-12-01,residentes,248124,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2021-12-01,total,271593,Emergencia sanitaria.
2022-01-01,no residentes,32559,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-01-01,residentes,573710,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-01-01,total,606269,Emergencia sanitaria.
2022-02-01,no residentes,30781,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-02-01,residentes,513855,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-02-01,total,544636,Emergencia sanitaria.
2022-03-01,no residentes,41046,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-03-01,residentes,335800,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-03-01,total,376846,Emergencia sanitaria.
2022-04-01,no residentes,50218,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-04-01,residentes,273026,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-04-01,total,323244,Emergencia sanitaria.
2022-05-01,no residentes,31032,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-05-01,residentes,166929,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-05-01,total,197961,Emergencia sanitaria.
2022-06-01,no residentes,29668,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-06-01,residentes,161304,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-06-01,total,190972,Emergencia sanitaria.
2022-07-01,no residentes,56071,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-07-01,residentes,317351,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-07-01,total,373422,Emergencia sanitaria.
2022-08-01,no residentes,46986,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
